id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
88,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,58.0,MILIMETER,2016
89,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MEI,61.0,MILIMETER,2016
90,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JUNI,76.0,MILIMETER,2016
91,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JULI,52.0,MILIMETER,2016
92,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,AGUSTUS,67.0,MILIMETER,2016
93,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,SEPTEMBER,45.0,MILIMETER,2016
94,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,OKTOBER,28.0,MILIMETER,2016
95,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,NOVEMBER,47.0,MILIMETER,2016
96,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,35.0,MILIMETER,2016
97,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,43.0,MILIMETER,2017
98,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,74.0,MILIMETER,2017
99,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,64.0,MILIMETER,2017
100,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,40.0,MILIMETER,2017
101,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,75.0,MILIMETER,2017
102,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,73.0,MILIMETER,2017
103,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,77.0,MILIMETER,2017
104,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,55.0,MILIMETER,2017
105,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,65.0,MILIMETER,2017
106,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,85.0,MILIMETER,2017
107,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,46.0,MILIMETER,2017
108,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,73.0,MILIMETER,2017
109,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,42.0,MILIMETER,2017
110,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,70.0,MILIMETER,2017
111,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,68.0,MILIMETER,2017
112,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,68.0,MILIMETER,2017
113,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,62.0,MILIMETER,2017
114,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,68.0,MILIMETER,2017
